country,immigration,lines,start_lat,start_lon,end_lat,end_lon
mexico,"10,931,939",11,23.6345,-102.5528,39.8283,-98.5795
china,"2,853,550",3,35.8617,104.1954,39.8283,-98.5795
india,"2,688,075",3,20.5937,78.9629,39.8283,-98.5795
philippines,"2,045,248",2,12.8797,121.774,39.8283,-98.5795
el salvador,"1,412,101",1,13.7942,-88.8965,39.8283,-98.5795
vietnam,"1,383,779",1,14.0583,108.2772,39.8283,-98.5795
cuba,"1,359,990",1,21.5218,-77.7812,39.8283,-98.5795
guatemala,"1,300,000",1,15.7835,-90.2308,39.8283,-98.5795
dominican republic,"1,122,000",1,18.7357,-70.1627,39.8283,-98.5795
south korea,"1,038,885",1,35.9078,127.7669,39.8283,-98.5795
,,,,,,
,,,,,,
,,,,,,
