code,state,2000,2010,2017
AL,Alabama,.7730,.8823,.9111
AK,Alaska,1.0907,1.1844,1.2470
AZ,Arizona,1.0204,1.1067,1.1440
AR,Arkansas,.7147,.8443,.8887
CA,California,1.2756,1.2909,1.3026
CO,Colorado,.8376,.9132,.9429
CT,Connecticut,.8108,.9471,1.0106
DE,Delaware,.8551,1.0209,1.0718
DC,District of Columbia,1.0566,1.1506,1.1893
FL,Florida,1.0100,1.1155,1.1538
GA,Georgia,.9581,1.0971,1.1378
HI,Hawaii,1.2666,1.3000,1.3199
ID,Idaho,.4981,.6014,.6385
IL,Illinois,.9909,1.0720,1.1099
IN,Indiana,.5666,.6994,.7520
IA,Iowa,.3645,.5068,.5797
KS,Kansas,.6832,.8104,.8527
KY,Kentucky,.4496,.5606,.6035
LA,Louisiana,.8813,.9605,.9953
ME,Maine,.2053,.3028,.3369
MD,Maryland,1.0052,1.1570,1.2125
MA,Massachusetts,.7221,.8680,.9379
MI,Michigan,.7517,.8149,.8531
MN,Minnesota,.5428,.7070,.7738
MS,Mississippi,.8170,.8956,.9132
MO,Missouri,.6101,.7038,.7435
MT,Montana,.4586,.5257,.5657
NE,Nebraska,.5492,.6987,.7600
NV,Nevada,1.0719,1.2275,1.2794
NH,New Hampshire,.2676,.3801,.4290
NJ,New Jersey,1.0565,1.1675,1.2157
NM,New Mexico,1.1213,1.1272,1.1354
NY,New York,1.1303,1.1876,1.2271
NC,North Carolina,.8871,1.0228,1.0681
ND,North Dakota,.3823,.5036,.6267
OH,Ohio,.5942,.6869,.7374
OK,Oklahoma,.9597,1.0952,1.1491
OR,Oregon,.6731,.7948,.8405
PA,Pennsylvania,.6121,.7530,.8160
RI,Rhode Island,.7121,.8431,.9076
SC,South Carolina,.8262,.9328,.9571
SD,South Dakota,.4927,.6220,.7000
TN,Tennessee,.6726,.7906,.8339
TX,Texas,1.1227,1.1785,1.2068
UT,Utah,.5898,.7058,.7428
VT,Vermont,.2231,.3035,.3483
VA,Virginia,.9232,1.0638,1.1183
WA,Washington,.8278,.9732,1.0316
WV,West Virginia,.2800,.3391,.3749
WI,Wisconsin,.5517,.6799,.7268
WY,Wyoming,.4873,.5690,.6179
