words,parent,trump_all,trump_all_pcnt,trump_last_two,trump_last_two_pcnt,trump_last_one,trump_last_one_pcnt,obama_all,obama_all_pcnt,obama_last_two,obama_last_two_pcnt,obama_last_one,obama_last_one_pcnt
First person,,4846,24.5665619,3114,24.00369999,1570,23.37352985,466,10.92358181,274,12.48291572,239,13.61047836
Second person,,5514,27.95295549,3408,26.26994527,1754,26.112848,1437,33.68495077,624,28.42824601,454,25.85421412
Third person,,2697,13.67231066,1936,14.92330224,2250,33.49709692,911,21.3548992,548,24.96583144,453,25.79726651
Collective,,6669,33.80817196,4515,34.80305249,1143,17.01652523,1452,34.03656821,749,34.12300683,610,34.738041
i,First person,2837,14.38203386,1866,14.38372003,897,13.35417597,299,7.008907642,163,7.425968109,144,8.200455581
me,First person,545,2.76285106,344,2.651661142,152,2.262914992,59,1.383028598,44,2.004555809,36,2.050113895
my,First person,1453,7.365913008,898,6.922068912,518,7.711776091,108,2.53164557,67,3.0523918,59,3.359908884
mine,First person,11,0.055763966,6,0.046249904,3,0.044662796,0,0,0,0,0,0
you,Second person,2385,12.09064179,1479,11.40060125,785,11.68676492,665,15.58837318,302,13.75854214,235,13.38268793
your,Second person,362,1.835141438,242,1.86541278,124,1.84606223,168,3.938115331,91,4.145785877,72,4.10022779
yours,Second person,2764,14.01196391,1687,13.00393124,845,12.58002084,603,14.1350211,230,10.47835991,147,8.371298405
he,Third person,3,0.015208354,0,0,0,0,1,0.023441163,1,0.045558087,0,0
she,Third person,1430,7.249315624,970,7.477067756,552,8.217954444,98,2.297233943,80,3.644646925,76,4.328018223
they,Third person,315,1.596877218,229,1.765204656,114,1.697186244,25,0.586029067,13,0.592255125,10,0.569476082
him,Third person,2070,10.49376457,1439,11.09226856,685,10.19800506,182,4.266291608,84,3.826879271,69,3.929384966
her,Third person,317,1.607016121,229,1.765204656,114,1.697186244,30,0.70323488,20,0.911161731,16,0.911161731
them,Third person,261,1.323126838,176,1.35666384,74,1.101682299,41,0.96108767,25,1.138952164,16,0.911161731
his,Third person,426,2.159586333,288,2.219995375,150,2.233139795,102,2.390998594,49,2.232346241,37,2.107061503
hers,Third person,863,4.374936632,553,4.262699453,277,4.123864821,206,4.828879512,160,7.28929385,134,7.630979499
their,Third person,0,0,0,0,0,0,0,0,0,0,0,0
theirs,Third person,986,4.998479165,631,4.8639482,284,4.228078011,225,5.274261603,115,5.239179954,93,5.296127563
we,Collective,1,0.005069451,0,0,0,0,2,0.046882325,2,0.091116173,2,0.113895216
us,Collective,1977,10.02230559,1405,10.83018577,782,11.64210213,865,20.27660572,443,20.18223235,368,20.95671982
our,Collective,716,3.629727264,528,4.069991521,359,5.344647908,576,13.5021097,299,13.62186788,236,13.43963554
ours,Collective,4,0.020277806,3,0.023124952,2,0.029775197,11,0.257852789,7,0.318906606,6,0.341685649
